ZFIN:ZDB-GENE-070410-44	NCBI_gene:11162
ZFIN:ZDB-GENE-040801-155	NCBI_gene:54874
ZFIN:ZDB-GENE-091117-6	NCBI_gene:23048
ZFIN:ZDB-GENE-081022-163	NCBI_gene:10522
ZFIN:ZDB-GENE-030131-9830	NCBI_gene:10885
ZFIN:ZDB-GENE-061218-4	NCBI_gene:93594
ZFIN:ZDB-GENE-030616-55	NCBI_gene:55032
ZFIN:ZDB-GENE-061103-595	NCBI_gene:113829
ZFIN:ZDB-GENE-080716-17	NCBI_gene:10559
ZFIN:ZDB-GENE-070424-281	NCBI_gene:7355
ZFIN:ZDB-GENE-081105-80	NCBI_gene:23443
ZFIN:ZDB-GENE-040520-2	NCBI_gene:9519
ZFIN:ZDB-GENE-030616-563	NCBI_gene:6908
ZFIN:ZDB-GENE-060929-448	NCBI_gene:284004
ZFIN:ZDB-GENE-040426-2298	NCBI_gene:55696
ZFIN:ZDB-GENE-040426-1198	NCBI_gene:375346
ZFIN:ZDB-GENE-040426-1198	NCBI_gene:100526772
ZFIN:ZDB-GENE-060929-872	NCBI_gene:83606
ZFIN:ZDB-GENE-060312-30	NCBI_gene:160622
ZFIN:ZDB-GENE-040801-116	NCBI_gene:84057
ZFIN:ZDB-GENE-030131-3670	NCBI_gene:22929
ZFIN:ZDB-GENE-030327-5	NCBI_gene:22928
ZFIN:ZDB-GENE-050417-278	NCBI_gene:28973
ZFIN:ZDB-GENE-050417-278	NCBI_gene:28973
ZFIN:ZDB-GENE-050417-278	NCBI_gene:28973
ZFIN:ZDB-GENE-050417-278	NCBI_gene:28973
ZFIN:ZDB-GENE-050417-278	NCBI_gene:28973
ZFIN:ZDB-GENE-050417-278	NCBI_gene:28973
ZFIN:ZDB-GENE-050417-278	NCBI_gene:28973
ZFIN:ZDB-GENE-110411-248	NCBI_gene:2646
ZFIN:ZDB-GENE-041210-170	NCBI_gene:150383
ZFIN:ZDB-GENE-050522-405	NCBI_gene:51329
ZFIN:ZDB-GENE-040801-59	NCBI_gene:84296
ZFIN:ZDB-GENE-030131-988	NCBI_gene:100506136
ZFIN:ZDB-GENE-041010-57	NCBI_gene:54982
ZFIN:ZDB-GENE-060312-15	NCBI_gene:57412
ZFIN:ZDB-GENE-061027-239	NCBI_gene:196410
ZFIN:ZDB-GENE-120215-62	NCBI_gene:196410
ZFIN:ZDB-GENE-040912-5	NCBI_gene:84274
ZFIN:ZDB-GENE-091029-1	NCBI_gene:170589
ZFIN:ZDB-GENE-091218-2	NCBI_gene:7162
ZFIN:ZDB-GENE-040426-1710	NCBI_gene:8721
ZFIN:ZDB-GENE-060825-150	NCBI_gene:27297
ZFIN:ZDB-GENE-050419-52	NCBI_gene:4301
ZFIN:ZDB-GENE-050809-130	NCBI_gene:28972
ZFIN:ZDB-GENE-030131-5366	NCBI_gene:10036
ZFIN:ZDB-GENE-040801-123	NCBI_gene:137392
ZFIN:ZDB-GENE-030131-2165	NCBI_gene:4802
ZFIN:ZDB-GENE-050227-18	NCBI_gene:54108
ZFIN:ZDB-GENE-050522-309	NCBI_gene:56655
ZFIN:ZDB-GENE-030131-400	NCBI_gene:10589
ZFIN:ZDB-GENE-100921-32	NCBI_gene:2887
ZFIN:ZDB-GENE-091118-23	NCBI_gene:2886
ZFIN:ZDB-GENE-040426-1318	NCBI_gene:54518
ZFIN:ZDB-GENE-070912-156	NCBI_gene:65059
ZFIN:ZDB-GENE-030131-443	NCBI_gene:533
ZFIN:ZDB-GENE-030131-4127	NCBI_gene:527
ZFIN:ZDB-GENE-040822-43	NCBI_gene:51185
ZFIN:ZDB-GENE-110914-193	NCBI_gene:60370
ZFIN:ZDB-GENE-030131-4012	NCBI_gene:164684
ZFIN:ZDB-GENE-050522-137	NCBI_gene:23558
ZFIN:ZDB-GENE-050522-111	NCBI_gene:54780
ZFIN:ZDB-GENE-050417-446	NCBI_gene:
ZFIN:ZDB-GENE-040426-2032	NCBI_gene:51586
ZFIN:ZDB-GENE-060503-462	NCBI_gene:10818
ZFIN:ZDB-GENE-080721-4	NCBI_gene:9046
ZFIN:ZDB-GENE-040426-2063	NCBI_gene:1796
ZFIN:ZDB-GENE-070410-50	NCBI_gene:220164
ZFIN:ZDB-GENE-030131-4408	NCBI_gene:84919
ZFIN:ZDB-GENE-091014-2	NCBI_gene:144100
ZFIN:ZDB-GENE-041210-25	NCBI_gene:54477
ZFIN:ZDB-GENE-060503-692	NCBI_gene:57664
ZFIN:ZDB-GENE-060825-93	NCBI_gene:10641
ZFIN:ZDB-GENE-990714-26	NCBI_gene:51176
ZFIN:ZDB-GENE-050222-4	NCBI_gene:102724203
ZFIN:ZDB-GENE-991110-10	NCBI_gene:83439
ZFIN:ZDB-GENE-991110-8	NCBI_gene:6934
ZFIN:ZDB-GENE-041010-189	NCBI_gene:152992
ZFIN:ZDB-GENE-040801-22	NCBI_gene:5360
ZFIN:ZDB-GENE-041114-54	NCBI_gene:1071
ZFIN:ZDB-GENE-070912-360	NCBI_gene:149684
ZFIN:ZDB-GENE-070912-490	NCBI_gene:54902
ZFIN:ZDB-GENE-030131-1033	NCBI_gene:375790
ZFIN:ZDB-GENE-090730-1	NCBI_gene:1954
ZFIN:ZDB-GENE-050310-2	NCBI_gene:4917
ZFIN:ZDB-GENE-060503-794	NCBI_gene:7399
ZFIN:ZDB-GENE-990415-169	NCBI_gene:9423
ZFIN:ZDB-GENE-050706-143	NCBI_gene:100526694
ZFIN:ZDB-GENE-070912-622	NCBI_gene:23671
ZFIN:ZDB-GENE-081030-4	NCBI_gene:3913
ZFIN:ZDB-GENE-021226-1	NCBI_gene:3912
ZFIN:ZDB-GENE-090312-21	NCBI_gene:8455
ZFIN:ZDB-GENE-030131-8092	NCBI_gene:26033
ZFIN:ZDB-GENE-081028-60	NCBI_gene:26033
ZFIN:ZDB-GENE-030131-9823	NCBI_gene:3911
ZFIN:ZDB-GENE-021226-3	NCBI_gene:3915
ZFIN:ZDB-GENE-091118-13	NCBI_gene:22854
ZFIN:ZDB-GENE-081105-186	NCBI_gene:84628
ZFIN:ZDB-GENE-080807-4	NCBI_gene:102723830
ZFIN:ZDB-GENE-101124-1	NCBI_gene:123811
ZFIN:ZDB-GENE-090417-1	NCBI_gene:11116
ZFIN:ZDB-GENE-041010-26	NCBI_gene:65991
ZFIN:ZDB-GENE-040718-466	NCBI_gene:139341
ZFIN:ZDB-GENE-070424-103	NCBI_gene:93034
ZFIN:ZDB-GENE-041114-6	NCBI_gene:59272
ZFIN:ZDB-GENE-061013-742	NCBI_gene:8435
ZFIN:ZDB-GENE-081105-177	NCBI_gene:6646
ZFIN:ZDB-GENE-040718-158	NCBI_gene:101929012
ZFIN:ZDB-GENE-050204-3	NCBI_gene:2744
ZFIN:ZDB-GENE-020419-26	NCBI_gene:6631
ZFIN:ZDB-GENE-070928-17	NCBI_gene:51115
ZFIN:ZDB-GENE-040426-2827	NCBI_gene:54881
ZFIN:ZDB-GENE-030616-595	NCBI_gene:26472
ZFIN:ZDB-GENE-050417-413	NCBI_gene:94274
ZFIN:ZDB-GENE-050706-92	NCBI_gene:81706
ZFIN:ZDB-GENE-030131-6328	NCBI_gene:9537
ZFIN:ZDB-GENE-120709-9	NCBI_gene:29108
ZFIN:ZDB-GENE-070424-116	NCBI_gene:29108
ZFIN:ZDB-GENE-030825-3	NCBI_gene:835
ZFIN:ZDB-GENE-030826-3	NCBI_gene:8837
ZFIN:ZDB-GENE-070608-2	NCBI_gene:843
ZFIN:ZDB-GENE-030825-5	NCBI_gene:842
ZFIN:ZDB-GENE-041010-48	NCBI_gene:839
ZFIN:ZDB-GENE-030825-4	NCBI_gene:839
ZFIN:ZDB-GENE-011210-1	NCBI_gene:836
ZFIN:ZDB-GENE-000616-3	NCBI_gene:838
ZFIN:ZDB-GENE-050522-506	NCBI_gene:840
ZFIN:ZDB-GENE-040426-1639	NCBI_gene:25876
ZFIN:ZDB-GENE-050417-153	NCBI_gene:132851
ZFIN:ZDB-GENE-040426-929	NCBI_gene:5193
ZFIN:ZDB-GENE-050417-340	NCBI_gene:6742
ZFIN:ZDB-GENE-100922-163	NCBI_gene:55125
ZFIN:ZDB-GENE-040426-2411	NCBI_gene:139596
ZFIN:ZDB-GENE-060526-195	NCBI_gene:139596
ZFIN:ZDB-GENE-090311-45	NCBI_gene:54963
ZFIN:ZDB-GENE-030131-5265	NCBI_gene:100500832
ZFIN:ZDB-GENE-040912-113	NCBI_gene:83549
ZFIN:ZDB-GENE-010406-1	NCBI_gene:312
ZFIN:ZDB-GENE-080220-29	NCBI_gene:308
ZFIN:ZDB-GENE-030131-4282	NCBI_gene:302
ZFIN:ZDB-GENE-030707-4	NCBI_gene:311
ZFIN:ZDB-GENE-030707-3	NCBI_gene:309
ZFIN:ZDB-GENE-030707-1	NCBI_gene:307
ZFIN:ZDB-GENE-030131-6554	NCBI_gene:301
ZFIN:ZDB-GENE-041114-128	NCBI_gene:306
ZFIN:ZDB-GENE-070424-129	NCBI_gene:2903
ZFIN:ZDB-GENE-070912-354	NCBI_gene:116444
ZFIN:ZDB-GENE-041008-124	NCBI_gene:2906
ZFIN:ZDB-GENE-100920-7	NCBI_gene:2906
ZFIN:ZDB-GENE-051202-1	NCBI_gene:2902
ZFIN:ZDB-GENE-051202-2	NCBI_gene:2902
ZFIN:ZDB-GENE-020125-1	NCBI_gene:2890
ZFIN:ZDB-GENE-030616-53	NCBI_gene:2892
ZFIN:ZDB-GENE-020125-7	NCBI_gene:2893
ZFIN:ZDB-GENE-030131-8013	NCBI_gene:2893
ZFIN:ZDB-GENE-020125-4	NCBI_gene:2891
ZFIN:ZDB-GENE-040913-1	NCBI_gene:2895
ZFIN:ZDB-GENE-081104-209	NCBI_gene:2901
ZFIN:ZDB-GENE-070821-5	NCBI_gene:2900
ZFIN:ZDB-GENE-000208-8	NCBI_gene:26958
ZFIN:ZDB-GENE-091118-20	NCBI_gene:83478
ZFIN:ZDB-GENE-040426-1885	NCBI_gene:51368
ZFIN:ZDB-GENE-010501-4	NCBI_gene:7916
ZFIN:ZDB-GENE-010501-4	NCBI_gene:7916
ZFIN:ZDB-GENE-010501-4	NCBI_gene:7916
ZFIN:ZDB-GENE-010501-4	NCBI_gene:7916
ZFIN:ZDB-GENE-010501-4	NCBI_gene:7916
ZFIN:ZDB-GENE-010501-4	NCBI_gene:7916
ZFIN:ZDB-GENE-010501-4	NCBI_gene:7916
ZFIN:ZDB-GENE-081104-156	NCBI_gene:102724071
ZFIN:ZDB-GENE-041010-22	NCBI_gene:10539
ZFIN:ZDB-GENE-040426-1957	NCBI_gene:51218
ZFIN:ZDB-GENE-060616-2	NCBI_gene:6629
ZFIN:ZDB-GENE-030131-2841	NCBI_gene:6626
ZFIN:ZDB-GENE-040426-2918	NCBI_gene:256987
ZFIN:ZDB-GENE-041111-296	NCBI_gene:347735
ZFIN:ZDB-GENE-030131-4415	NCBI_gene:57515
ZFIN:ZDB-GENE-090915-6	NCBI_gene:126669
ZFIN:ZDB-GENE-030131-6059	NCBI_gene:56961
ZFIN:ZDB-GENE-050913-125	NCBI_gene:114926
ZFIN:ZDB-GENE-041014-253	NCBI_gene:132299
ZFIN:ZDB-GENE-060303-1	NCBI_gene:5428
ZFIN:ZDB-GENE-040718-450	NCBI_gene:8562
ZFIN:ZDB-GENE-030219-38	NCBI_gene:1315
ZFIN:ZDB-GENE-070705-4	NCBI_gene:10243
ZFIN:ZDB-GENE-040426-2115	NCBI_gene:2581
ZFIN:ZDB-GENE-030131-8517	NCBI_gene:254773
ZFIN:ZDB-GENE-060503-303	NCBI_gene:399474
ZFIN:ZDB-GENE-040724-81	NCBI_gene:114801
ZFIN:ZDB-GENE-050419-188	NCBI_gene:83448
ZFIN:ZDB-GENE-060620-1	NCBI_gene:54517
ZFIN:ZDB-GENE-080204-60	NCBI_gene:128414
ZFIN:ZDB-GENE-040426-1472	NCBI_gene:79570
ZFIN:ZDB-GENE-041014-77	NCBI_gene:154215
ZFIN:ZDB-GENE-080208-7	NCBI_gene:23264
ZFIN:ZDB-GENE-040426-2776	NCBI_gene:29066
ZFIN:ZDB-GENE-030131-3689	NCBI_gene:22944
ZFIN:ZDB-GENE-030131-683	NCBI_gene:192111
ZFIN:ZDB-GENE-040426-698	NCBI_gene:102723882
ZFIN:ZDB-GENE-040426-698	NCBI_gene:221960
ZFIN:ZDB-GENE-040426-1819	NCBI_gene:8926
ZFIN:ZDB-GENE-030131-542	NCBI_gene:1265
ZFIN:ZDB-GENE-030131-5130	NCBI_gene:1266
ZFIN:ZDB-GENE-091118-54	NCBI_gene:1264
ZFIN:ZDB-GENE-070912-1	NCBI_gene:6876
ZFIN:ZDB-GENE-030131-4199	NCBI_gene:29114
ZFIN:ZDB-GENE-060503-759	NCBI_gene:6310
ZFIN:ZDB-GENE-010822-1	NCBI_gene:4685
ZFIN:ZDB-GENE-060929-856	NCBI_gene:4685
ZFIN:ZDB-GENE-031118-67	NCBI_gene:1826
ZFIN:ZDB-GENE-050809-118	NCBI_gene:84966
ZFIN:ZDB-GENE-081104-247	NCBI_gene:7412
ZFIN:ZDB-GENE-070209-238	NCBI_gene:7412
ZFIN:ZDB-GENE-060503-729	NCBI_gene:22997
ZFIN:ZDB-GENE-041210-236	NCBI_gene:1272
ZFIN:ZDB-GENE-020809-1	NCBI_gene:6900
ZFIN:ZDB-GENE-090311-17	NCBI_gene:221935
ZFIN:ZDB-GENE-021031-1	NCBI_gene:4756
ZFIN:ZDB-GENE-080303-24	NCBI_gene:9543
ZFIN:ZDB-GENE-090313-201	NCBI_gene:10752
ZFIN:ZDB-GENE-000209-4	NCBI_gene:64221
ZFIN:ZDB-GENE-080229-6	NCBI_gene:23114
ZFIN:ZDB-GENE-060302-1	NCBI_gene:283659
ZFIN:ZDB-GENE-000209-3	NCBI_gene:6091
ZFIN:ZDB-GENE-030131-5640	NCBI_gene:53942
ZFIN:ZDB-GENE-041210-235	NCBI_gene:3897
ZFIN:ZDB-GENE-990415-31	NCBI_gene:4684
ZFIN:ZDB-GENE-080327-32	NCBI_gene:57722
ZFIN:ZDB-GENE-021115-4	NCBI_gene:50937
ZFIN:ZDB-GENE-030131-6560	NCBI_gene:91653
ZFIN:ZDB-GENE-060503-172	NCBI_gene:388364
ZFIN:ZDB-GENE-081104-119	NCBI_gene:25878
ZFIN:ZDB-GENE-040426-2732	NCBI_gene:81551
ZFIN:ZDB-GENE-041010-85	NCBI_gene:11075
ZFIN:ZDB-GENE-050417-397	NCBI_gene:3925
ZFIN:ZDB-GENE-030131-3113	NCBI_gene:9924
ZFIN:ZDB-GENE-050913-54	NCBI_gene:84318
ZFIN:ZDB-GENE-110411-40	NCBI_gene:11078
ZFIN:ZDB-GENE-030131-7447	NCBI_gene:6272
ZFIN:ZDB-GENE-050208-22	NCBI_gene:6653
ZFIN:ZDB-GENE-060503-478	NCBI_gene:440279
ZFIN:ZDB-GENE-060512-329	NCBI_gene:150684
ZFIN:ZDB-GENE-110411-133	NCBI_gene:494513
ZFIN:ZDB-GENE-040426-1795	NCBI_gene:25828
ZFIN:ZDB-GENE-040718-162	NCBI_gene:7295
ZFIN:ZDB-GENE-040426-701	NCBI_gene:9352
ZFIN:ZDB-GENE-980526-200	NCBI_gene:101060835
ZFIN:ZDB-GENE-980526-200	NCBI_gene:101060835
ZFIN:ZDB-GENE-980526-200	NCBI_gene:101060835
ZFIN:ZDB-GENE-060503-89	NCBI_gene:102724794
ZFIN:ZDB-GENE-060503-89	NCBI_gene:102724794
ZFIN:ZDB-GENE-060503-89	NCBI_gene:102724794
ZFIN:ZDB-GENE-980526-88	NCBI_gene:567
ZFIN:ZDB-GENE-050419-145	NCBI_gene:23209
ZFIN:ZDB-GENE-050208-4	NCBI_gene:3273
ZFIN:ZDB-GENE-030131-1133	NCBI_gene:197
ZFIN:ZDB-GENE-050320-33	NCBI_gene:644890
ZFIN:ZDB-GENE-030516-1	NCBI_gene:2797
ZFIN:ZDB-GENE-061110-10	NCBI_gene:1056
ZFIN:ZDB-GENE-041014-96	NCBI_gene:23491
ZFIN:ZDB-GENE-071219-1	NCBI_gene:54413
ZFIN:ZDB-GENE-090918-2	NCBI_gene:57555
ZFIN:ZDB-GENE-090918-1	NCBI_gene:22871
ZFIN:ZDB-GENE-100309-2	NCBI_gene:57502
ZFIN:ZDB-GENE-030519-1	NCBI_gene:7038
ZFIN:ZDB-GENE-010906-1	NCBI_gene:43
ZFIN:ZDB-GENE-081104-23	NCBI_gene:26301
ZFIN:ZDB-GENE-031204-4	NCBI_gene:26301
ZFIN:ZDB-GENE-070410-33	NCBI_gene:25989
ZFIN:ZDB-GENE-071203-2	NCBI_gene:8408
ZFIN:ZDB-GENE-020731-4	NCBI_gene:4946
ZFIN:ZDB-GENE-030131-2799	NCBI_gene:55256
ZFIN:ZDB-GENE-041210-217	NCBI_gene:57639
ZFIN:ZDB-GENE-060929-128	NCBI_gene:159686
ZFIN:ZDB-GENE-070410-5	NCBI_gene:3034
ZFIN:ZDB-GENE-080523-1	NCBI_gene:55209
ZFIN:ZDB-GENE-030131-4120	NCBI_gene:55904
ZFIN:ZDB-GENE-041010-184	NCBI_gene:9837
ZFIN:ZDB-GENE-061013-388	NCBI_gene:1800
ZFIN:ZDB-GENE-040426-719	NCBI_gene:10400
ZFIN:ZDB-GENE-030131-526	NCBI_gene:1965
ZFIN:ZDB-GENE-030131-283	NCBI_gene:1965
ZFIN:ZDB-GENE-041014-11	NCBI_gene:83648
ZFIN:ZDB-GENE-081104-474	NCBI_gene:220108
ZFIN:ZDB-GENE-040426-2178	NCBI_gene:79647
ZFIN:ZDB-GENE-040426-2944	NCBI_gene:55122
ZFIN:ZDB-GENE-040614-2	NCBI_gene:90410
ZFIN:ZDB-GENE-060825-218	NCBI_gene:64149
ZFIN:ZDB-GENE-070705-97	NCBI_gene:150274
ZFIN:ZDB-GENE-040426-1241	NCBI_gene:9197
ZFIN:ZDB-GENE-060526-263	NCBI_gene:113655
ZFIN:ZDB-GENE-081104-33	NCBI_gene:2245
ZFIN:ZDB-GENE-000517-1	NCBI_gene:89846
ZFIN:ZDB-GENE-041114-28	NCBI_gene:84904
ZFIN:ZDB-GENE-041210-200	NCBI_gene:55785
ZFIN:ZDB-GENE-070424-163	NCBI_gene:10160
ZFIN:ZDB-GENE-030131-2993	NCBI_gene:102724304
ZFIN:ZDB-GENE-081104-429	NCBI_gene:81615
ZFIN:ZDB-GENE-030131-9795	NCBI_gene:6238
ZFIN:ZDB-GENE-041014-325	NCBI_gene:5321
ZFIN:ZDB-GENE-050417-102	NCBI_gene:8576
ZFIN:ZDB-GENE-081105-101	NCBI_gene:22848
ZFIN:ZDB-GENE-041212-72	NCBI_gene:55589
ZFIN:ZDB-GENE-060503-362	NCBI_gene:9213
ZFIN:ZDB-GENE-060421-6122	NCBI_gene:79648
ZFIN:ZDB-GENE-041114-85	NCBI_gene:51611
ZFIN:ZDB-GENE-081104-63	NCBI_gene:643641
ZFIN:ZDB-GENE-030131-3595	NCBI_gene:23275
ZFIN:ZDB-GENE-120709-89	NCBI_gene:29090
ZFIN:ZDB-GENE-070112-1692	NCBI_gene:374882
ZFIN:ZDB-GENE-030131-3277	NCBI_gene:6888
ZFIN:ZDB-GENE-100922-201	NCBI_gene:973
ZFIN:ZDB-GENE-050417-14	NCBI_gene:401647
ZFIN:ZDB-GENE-040625-142	NCBI_gene:51125
ZFIN:ZDB-GENE-050417-227	NCBI_gene:148304
ZFIN:ZDB-GENE-040628-4	NCBI_gene:390259
ZFIN:ZDB-GENE-980526-280	NCBI_gene:1747
ZFIN:ZDB-GENE-990415-48	NCBI_gene:1745
ZFIN:ZDB-GENE-990415-49	NCBI_gene:1749
ZFIN:ZDB-GENE-980526-212	NCBI_gene:1746
ZFIN:ZDB-GENE-980526-448	NCBI_gene:1750
ZFIN:ZDB-GENE-040426-769	NCBI_gene:55813
ZFIN:ZDB-GENE-061122-1	NCBI_gene:140775
ZFIN:ZDB-GENE-040426-1301	NCBI_gene:84287
ZFIN:ZDB-GENE-040426-1325	NCBI_gene:51526
ZFIN:ZDB-GENE-040704-41	NCBI_gene:26995
ZFIN:ZDB-GENE-030131-1107	NCBI_gene:29035
ZFIN:ZDB-GENE-041010-132	NCBI_gene:5833
ZFIN:ZDB-GENE-061220-4	NCBI_gene:9468
ZFIN:ZDB-GENE-050417-108	NCBI_gene:5130
ZFIN:ZDB-GENE-040912-163	NCBI_gene:57050
ZFIN:ZDB-GENE-031030-13	NCBI_gene:25983
ZFIN:ZDB-GENE-070522-3	NCBI_gene:102725226
ZFIN:ZDB-GENE-030616-420	NCBI_gene:55015
ZFIN:ZDB-GENE-000906-2	NCBI_gene:3336
ZFIN:ZDB-GENE-060929-1154	NCBI_gene:161145
ZFIN:ZDB-GENE-080723-52	NCBI_gene:100526739
ZFIN:ZDB-GENE-050417-231	NCBI_gene:195828
ZFIN:ZDB-GENE-060526-378	NCBI_gene:23099
ZFIN:ZDB-GENE-060929-660	NCBI_gene:283337
ZFIN:ZDB-GENE-050208-769	NCBI_gene:286128
ZFIN:ZDB-GENE-070912-586	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-623	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-469	NCBI_gene:286128
ZFIN:ZDB-GENE-050420-146	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-387	NCBI_gene:286128
ZFIN:ZDB-GENE-050420-147	NCBI_gene:286128
ZFIN:ZDB-GENE-070705-204	NCBI_gene:286128
ZFIN:ZDB-GENE-060503-717	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-627	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-548	NCBI_gene:286128
ZFIN:ZDB-GENE-061207-80	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-789	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-794	NCBI_gene:286128
ZFIN:ZDB-GENE-060503-59	NCBI_gene:286128
ZFIN:ZDB-GENE-060503-152	NCBI_gene:286128
ZFIN:ZDB-GENE-050420-214	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-549	NCBI_gene:286128
ZFIN:ZDB-GENE-050420-148	NCBI_gene:286128
ZFIN:ZDB-GENE-070424-89	NCBI_gene:286128
ZFIN:ZDB-GENE-050320-55	NCBI_gene:286128
ZFIN:ZDB-GENE-060503-151	NCBI_gene:286128
ZFIN:ZDB-GENE-050420-13	NCBI_gene:286128
ZFIN:ZDB-GENE-081031-81	NCBI_gene:286128
ZFIN:ZDB-GENE-070912-116	NCBI_gene:286128
ZFIN:ZDB-GENE-060526-162	NCBI_gene:286128
ZFIN:ZDB-GENE-050420-286	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-704	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-625	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-708	NCBI_gene:286128
ZFIN:ZDB-GENE-040801-141	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-706	NCBI_gene:286128
ZFIN:ZDB-GENE-030131-2023	NCBI_gene:286128
ZFIN:ZDB-GENE-050913-13	NCBI_gene:286128
ZFIN:ZDB-GENE-050420-351	NCBI_gene:286128
ZFIN:ZDB-GENE-050913-150	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-688	NCBI_gene:286128
ZFIN:ZDB-GENE-050208-547	NCBI_gene:286128
ZFIN:ZDB-GENE-030131-9405	NCBI_gene:57587
ZFIN:ZDB-GENE-080819-3	NCBI_gene:9675
ZFIN:ZDB-GENE-000616-4	NCBI_gene:317
ZFIN:ZDB-GENE-040426-1383	NCBI_gene:56888
ZFIN:ZDB-GENE-990621-7	NCBI_gene:10655
ZFIN:ZDB-GENE-021220-3	NCBI_gene:58524
ZFIN:ZDB-GENE-050511-1	NCBI_gene:1761
ZFIN:ZDB-GENE-041116-2	NCBI_gene:63950
ZFIN:ZDB-GENE-120119-1	NCBI_gene:9786
ZFIN:ZDB-GENE-060213-2	NCBI_gene:3600
ZFIN:ZDB-GENE-091204-96	NCBI_gene:642968
ZFIN:ZDB-GENE-050809-101	NCBI_gene:79979
ZFIN:ZDB-GENE-030131-6876	NCBI_gene:27037
ZFIN:ZDB-GENE-030131-7452	NCBI_gene:10146
ZFIN:ZDB-GENE-041001-171	NCBI_gene:57099
ZFIN:ZDB-GENE-050522-542	NCBI_gene:102725189
ZFIN:ZDB-GENE-070928-24	NCBI_gene:54998
ZFIN:ZDB-GENE-041010-102	NCBI_gene:10534
ZFIN:ZDB-GENE-050417-114	NCBI_gene:26610
ZFIN:ZDB-GENE-030131-1502	NCBI_gene:102724932
ZFIN:ZDB-GENE-041114-135	NCBI_gene:84933
ZFIN:ZDB-GENE-091118-65	NCBI_gene:2566
ZFIN:ZDB-GENE-080815-1	NCBI_gene:2559
ZFIN:ZDB-GENE-061013-194	NCBI_gene:2554
ZFIN:ZDB-GENE-081104-30	NCBI_gene:2558
ZFIN:ZDB-GENE-050417-360	NCBI_gene:2557
ZFIN:ZDB-GENE-091204-365	NCBI_gene:2556
ZFIN:ZDB-GENE-040801-106	NCBI_gene:2743
ZFIN:ZDB-GENE-010410-3	NCBI_gene:441509
ZFIN:ZDB-GENE-991117-1	NCBI_gene:2741
ZFIN:ZDB-GENE-060825-164	NCBI_gene:2570
ZFIN:ZDB-GENE-081105-170	NCBI_gene:2563
ZFIN:ZDB-GENE-101102-2	NCBI_gene:2562
ZFIN:ZDB-GENE-030131-8196	NCBI_gene:2561
ZFIN:ZDB-GENE-090313-230	NCBI_gene:2560
ZFIN:ZDB-GENE-030131-3805	NCBI_gene:1146
ZFIN:ZDB-GENE-070821-4	NCBI_gene:1140
ZFIN:ZDB-GENE-030131-6665	NCBI_gene:1144
ZFIN:ZDB-GENE-040808-32	NCBI_gene:1145
ZFIN:ZDB-GENE-070821-3	NCBI_gene:1141
ZFIN:ZDB-GENE-041001-99	NCBI_gene:1135
ZFIN:ZDB-GENE-040108-2	NCBI_gene:1135
ZFIN:ZDB-GENE-040108-1	NCBI_gene:1142
ZFIN:ZDB-GENE-050417-440	NCBI_gene:1138
ZFIN:ZDB-GENE-090505-3	NCBI_gene:102723788
ZFIN:ZDB-GENE-071012-4	NCBI_gene:9177
ZFIN:ZDB-GENE-071012-5	NCBI_gene:3359
ZFIN:ZDB-GENE-060503-725	NCBI_gene:57053
ZFIN:ZDB-GENE-090312-63	NCBI_gene:55584
ZFIN:ZDB-GENE-090312-91	NCBI_gene:8973
ZFIN:ZDB-GENE-980526-137	NCBI_gene:1134
ZFIN:ZDB-GENE-070822-1	NCBI_gene:1136
ZFIN:ZDB-GENE-060312-18	NCBI_gene:387787
ZFIN:ZDB-GENE-030131-5564	NCBI_gene:79587
ZFIN:ZDB-GENE-030328-29	NCBI_gene:833
ZFIN:ZDB-GENE-050417-261	NCBI_gene:10153
ZFIN:ZDB-GENE-031116-67	NCBI_gene:11240
ZFIN:ZDB-GENE-081104-144	NCBI_gene:10245
ZFIN:ZDB-GENE-031030-6	NCBI_gene:10440
ZFIN:ZDB-GENE-090319-5	NCBI_gene:6655
ZFIN:ZDB-GENE-070209-128	NCBI_gene:6654
ZFIN:ZDB-GENE-090312-38	NCBI_gene:10411
ZFIN:ZDB-GENE-070912-385	NCBI_gene:11069
ZFIN:ZDB-GENE-030131-6972	NCBI_gene:51735
ZFIN:ZDB-GENE-030131-6959	NCBI_gene:9693
ZFIN:ZDB-GENE-040801-220	NCBI_gene:153020
ZFIN:ZDB-GENE-030131-5783	NCBI_gene:153020
ZFIN:ZDB-GENE-040426-1001	NCBI_gene:2889
ZFIN:ZDB-GENE-050419-110	NCBI_gene:115727
ZFIN:ZDB-GENE-070424-82	NCBI_gene:25780
ZFIN:ZDB-GENE-040426-1816	NCBI_gene:23179
