Mouse gene 	Human gene
MGI:1918586	NCBI_gene:64080
MGI:2442406	NCBI_gene:10090
MGI:1346049	NCBI_gene:9653
MGI:1916368	NCBI_gene:10668
MGI:1926834	NCBI_gene:64122
MGI:2679256	NCBI_gene:79672
MGI:2429620	NCBI_gene:25988
MGI:3045353	NCBI_gene:9508
MGI:2685556	NCBI_gene:11093
MGI:2179942	NCBI_gene:140766
MGI:1347356	NCBI_gene:9509
MGI:2449569	NCBI_gene:170689
MGI:1339949	NCBI_gene:9507
MGI:109249	NCBI_gene:9510
MGI:2660628	NCBI_gene:80070
MGI:1916320	NCBI_gene:56999
MGI:1913798	NCBI_gene:339366
MGI:1346321	NCBI_gene:11096
MGI:1353468	NCBI_gene:11095
MGI:2672033	NCBI_gene:79875
MGI:2386139	NCBI_gene:89932
MGI:3028499	NCBI_gene:57188
MGI:2449112	NCBI_gene:81794
MGI:1924989	NCBI_gene:92949
MGI:1347348	NCBI_gene:11174
MGI:2389008	NCBI_gene:54507
MGI:2429637	NCBI_gene:170690
MGI:2442600	NCBI_gene:170692
MGI:2442875	NCBI_gene:171019
MGI:3588195	NCBI_gene:170691
MGI:2146046	NCBI_gene:81792
MGI:1925044	NCBI_gene:9719
MGI:1347346	NCBI_gene:11173
MGI:1316736	NCBI_gene:4221
MGI:3030622	NCBI_gene:254786
MGI:3030636	NCBI_gene:390321
MGI:3030625	NCBI_gene:341416
MGI:3030614	NCBI_gene:403284
MGI:3030601	NCBI_gene:121129
MGI:3030655	NCBI_gene:254783
MGI:3030616	NCBI_gene:283365
MGI:3030624	NCBI_gene:390323
MGI:3030648	NCBI_gene:390327
MGI:3030642	NCBI_gene:403282
MGI:3030647	NCBI_gene:390326
MGI:3030820	NCBI_gene:390260
MGI:3030584	NCBI_gene:341799
MGI:3030142	NCBI_gene:343169
MGI:95480	NCBI_gene:2176
MGI:3605641	NCBI_gene:729956
MGI:2685725	NCBI_gene:388336
MGI:2146080	NCBI_gene:440829
MGI:1919805	NCBI_gene:729993
MGI:1351329	NCBI_gene:84546
MGI:99841	NCBI_gene:3363
MGI:3030583	NCBI_gene:390442
MGI:106648	NCBI_gene:127385
MGI:1335096	NCBI_gene:126541
MGI:3030306	NCBI_gene:219464
MGI:3030306	NCBI_gene:219464
MGI:3030927	NCBI_gene:390154
MGI:3030927	NCBI_gene:390154
MGI:3030073	NCBI_gene:26538
MGI:3030073	NCBI_gene:26539
MGI:109521	NCBI_gene:3356
MGI:96281	NCBI_gene:3358
MGI:109323	NCBI_gene:3357
MGI:1196627	NCBI_gene:3362
MGI:96276	NCBI_gene:3352
MGI:96274	NCBI_gene:3351
MGI:99842	NCBI_gene:3355
MGI:96283	NCBI_gene:3361
MGI:96273	NCBI_gene:3350
MGI:107606	NCBI_gene:6720
MGI:107585	NCBI_gene:6721
MGI:99542	NCBI_gene:7391
MGI:99961	NCBI_gene:7392
MGI:1913590	NCBI_gene:55851
MGI:1913299	NCBI_gene:79641
MGI:1346340	NCBI_gene:9219
MGI:2151172	NCBI_gene:57504
MGI:2150037	NCBI_gene:9112
MGI:2442317	NCBI_gene:166968
MGI:1917677	NCBI_gene:54531
MGI:1918398	NCBI_gene:57708
MGI:1924167	NCBI_gene:114984
MGI:2442638	NCBI_gene:84256
MGI:1355322	NCBI_gene:5394
MGI:3045306	NCBI_gene:161829
MGI:2685954	NCBI_gene:390748
MGI:1859158	NCBI_gene:8106
MGI:1860440	NCBI_gene:25825
MGI:1346542	NCBI_gene:23621
MGI:109365	NCBI_gene:9476
MGI:97898	NCBI_gene:5972
MGI:88562	NCBI_gene:1509
MGI:98909	NCBI_gene:5225
MGI:107361	NCBI_gene:1510
MGI:1919022	NCBI_gene:196463
MGI:1914107	NCBI_gene:79887
MGI:1916288	NCBI_gene:746
MGI:1916862	NCBI_gene:54934
MGI:1917592	NCBI_gene:80142
MGI:2385849	NCBI_gene:51547
MGI:1354161	NCBI_gene:51548
MGI:1922637	NCBI_gene:23409
MGI:1927664	NCBI_gene:22933
MGI:2135607	NCBI_gene:23411
MGI:1927665	NCBI_gene:23410
MGI:1915596	NCBI_gene:23408
MGI:1354388	NCBI_gene:9576
MGI:1917066	NCBI_gene:51237
MGI:1098806	NCBI_gene:51122
MGI:1914873	NCBI_gene:51768
MGI:105108	NCBI_gene:51199
MGI:1925427	NCBI_gene:22981
MGI:2448704	NCBI_gene:102724007
MGI:2685281	NCBI_gene:126767
MGI:3652194	NCBI_gene:343066
MGI:3650257	NCBI_gene:343066
MGI:2443191	NCBI_gene:57552
MGI:3646333	NCBI_gene:344752
MGI:1915008	NCBI_gene:13
MGI:1921020	NCBI_gene:55100
MGI:1922118	NCBI_gene:157378
MGI:1914664	NCBI_gene:55669
MGI:2442230	NCBI_gene:9927
MGI:1914619	NCBI_gene:54814
MGI:1917786	NCBI_gene:25797
MGI:97897	NCBI_gene:5966
MGI:103290	NCBI_gene:5970
MGI:103289	NCBI_gene:5971
MGI:97312	NCBI_gene:4790
MGI:1099800	NCBI_gene:4791
MGI:1932915	NCBI_gene:81565
MGI:1914453	NCBI_gene:54820
MGI:2442492	NCBI_gene:63906
MGI:2183559	NCBI_gene:55738
MGI:1927140	NCBI_gene:28964
MGI:1347053	NCBI_gene:9815
MGI:3580016	NCBI_gene:116986
MGI:2183446	NCBI_gene:116988
MGI:2653690	NCBI_gene:116987
MGI:2442201	NCBI_gene:11033
MGI:2663075	NCBI_gene:55803
MGI:2684986	NCBI_gene:55616
MGI:1342335	NCBI_gene:50807
MGI:2685438	NCBI_gene:8853
MGI:2388270	NCBI_gene:9744
MGI:1925868	NCBI_gene:23527
MGI:2153589	NCBI_gene:116983
MGI:2443267	NCBI_gene:3268
MGI:1333754	NCBI_gene:3267
MGI:2384914	NCBI_gene:55198
MGI:1920243	NCBI_gene:26060
MGI:1916960	NCBI_gene:116985
MGI:2684416	NCBI_gene:116984
MGI:2147274	NCBI_gene:64411
MGI:1917030	NCBI_gene:64744
MGI:2138261	NCBI_gene:60682
MGI:1913501	NCBI_gene:26286
MGI:1924288	NCBI_gene:84364
MGI:1913964	NCBI_gene:388272
MGI:1921888	NCBI_gene:152098
MGI:2685899	NCBI_gene:55063
MGI:1915090	NCBI_gene:78988
MGI:1858277	NCBI_gene:9514
MGI:1916254	NCBI_gene:79690
MGI:2685834	NCBI_gene:64090
MGI:3617843	NCBI_gene:89792
MGI:2444896	NCBI_gene:55068
MGI:2384799	NCBI_gene:10495
MGI:1924947	NCBI_gene:326625
MGI:1916047	NCBI_gene:5157
MGI:1289321	NCBI_gene:51642
MGI:1915069	NCBI_gene:79139
MGI:1917627	NCBI_gene:91319
MGI:2151483	NCBI_gene:51009
MGI:1890613	NCBI_gene:23481
MGI:1913523	NCBI_gene:28971
MGI:106222	NCBI_gene:830
MGI:106221	NCBI_gene:93661
MGI:106227	NCBI_gene:829
MGI:1921727	NCBI_gene:9851
MGI:1915951	NCBI_gene:116729
MGI:1924258	NCBI_gene:54776
MGI:1916417	NCBI_gene:4660
MGI:1309528	NCBI_gene:4659
MGI:2444611	NCBI_gene:10526
MGI:2152414	NCBI_gene:10527
MGI:1339951	NCBI_gene:1434
MGI:2442377	NCBI_gene:51194
MGI:1918944	NCBI_gene:55705
MGI:2135755	NCBI_gene:84701
MGI:88473	NCBI_gene:1327
MGI:1923671	NCBI_gene:388649
MGI:107416	NCBI_gene:6827
MGI:1333807	NCBI_gene:5884
MGI:1922083	NCBI_gene:57019
MGI:1924596	NCBI_gene:84830
MGI:1913503	NCBI_gene:51390
MGI:1914983	NCBI_gene:23421
MGI:1932101	NCBI_gene:26057
MGI:1921733	NCBI_gene:54882
MGI:3845902	NCBI_gene:54882
MGI:1888514	NCBI_gene:9547
MGI:1916340	NCBI_gene:51008
MGI:2442558	NCBI_gene:727957
MGI:2685873	NCBI_gene:374977
MGI:3603828	NCBI_gene:140699
MGI:3705228	NCBI_gene:339766
MGI:2152817	NCBI_gene:83876
MGI:1925508	NCBI_gene:80133
MGI:1921905	NCBI_gene:133558
MGI:1920055	NCBI_gene:55778
MGI:1916175	NCBI_gene:102724088
MGI:1914486	NCBI_gene:51550
MGI:99832	NCBI_gene:6396
MGI:1919374	NCBI_gene:81929
MGI:106689	NCBI_gene:6404
MGI:1922387	NCBI_gene:23248
MGI:2385066	NCBI_gene:55197
MGI:1917720	NCBI_gene:58490
MGI:2138334	NCBI_gene:8527
MGI:2444188	NCBI_gene:160851
MGI:102918	NCBI_gene:1609
MGI:1889276	NCBI_gene:8526
MGI:2443430	NCBI_gene:9162
MGI:1278339	NCBI_gene:8525
MGI:102952	NCBI_gene:1606
MGI:2442474	NCBI_gene:1607
MGI:105060	NCBI_gene:1608
MGI:1333776	NCBI_gene:57491
MGI:105043	NCBI_gene:196
MGI:1335089	NCBI_gene:55527
MGI:1917904	NCBI_gene:651746
MGI:2444737	NCBI_gene:56929
MGI:1335087	NCBI_gene:10116
MGI:109247	NCBI_gene:1649
MGI:2444228	NCBI_gene:57805
MGI:1914750	NCBI_gene:55749
MGI:1916089	NCBI_gene:157567
MGI:1353467	NCBI_gene:83992
MGI:2685285	NCBI_gene:441869
MGI:2686183	NCBI_gene:100131244
MGI:2444121	NCBI_gene:26115
MGI:1914110	NCBI_gene:85461
MGI:1914384	NCBI_gene:100302138
MGI:1933184	NCBI_gene:51602
MGI:1196391	NCBI_gene:5426
MGI:1335093	NCBI_gene:28227
MGI:5434139	NCBI_gene:28227
MGI:2442104	NCBI_gene:5523
MGI:2385896	NCBI_gene:55262
MGI:1915465	NCBI_gene:283742
MGI:1921083	NCBI_gene:102724287
MGI:1919972	NCBI_gene:25940
MGI:2385906	NCBI_gene:6687
MGI:1916847	NCBI_gene:10939
MGI:1351651	NCBI_gene:10730
MGI:88587	NCBI_gene:1588
MGI:2142763	NCBI_gene:285440
MGI:1932403	NCBI_gene:260293
MGI:3611747	NCBI_gene:1579
MGI:103225	NCBI_gene:1580
MGI:2146921	NCBI_gene:8529
MGI:1919304	NCBI_gene:4051
MGI:3646233	NCBI_gene:11283
MGI:2445210	NCBI_gene:126410
MGI:1914220	NCBI_gene:23635
MGI:1924150	NCBI_gene:170463
MGI:1919725	NCBI_gene:23648
MGI:2685603	NCBI_gene:643596
MGI:3045355	NCBI_gene:221687
MGI:2685397	NCBI_gene:149041
MGI:2442789	NCBI_gene:54542
MGI:1914432	NCBI_gene:10158
MGI:1919523	NCBI_gene:284422
MGI:1344370	NCBI_gene:4718
MGI:2149712	NCBI_gene:9687
MGI:3576497	NCBI_gene:80000
MGI:97849	NCBI_gene:5897
MGI:97600	NCBI_gene:5583
MGI:97599	NCBI_gene:5581
MGI:97602	NCBI_gene:5590
MGI:99260	NCBI_gene:5584
MGI:2388285	NCBI_gene:29941
MGI:108022	NCBI_gene:5585
MGI:109211	NCBI_gene:5586
MGI:97596	NCBI_gene:5579
MGI:97597	NCBI_gene:5582
MGI:97595	NCBI_gene:5578
MGI:1917802	NCBI_gene:115399
MGI:1917153	NCBI_gene:54922
MGI:2443088	NCBI_gene:55698
MGI:1913427	NCBI_gene:59286
MGI:1922867	NCBI_gene:6230
MGI:1913646	NCBI_gene:79780
MGI:2137680	NCBI_gene:119559
MGI:2137681	NCBI_gene:94097
MGI:2137679	NCBI_gene:81855
MGI:2137677	NCBI_gene:94081
MGI:2137678	NCBI_gene:118980
MGI:1333795	NCBI_gene:6731
MGI:1270839	NCBI_gene:27101
MGI:2388097	NCBI_gene:83860
MGI:1921572	NCBI_gene:30827
MGI:2679721	NCBI_gene:85458
MGI:94941	NCBI_gene:1855
MGI:106613	NCBI_gene:1856
MGI:108100	NCBI_gene:1857
MGI:1336884	NCBI_gene:5002
MGI:1924855	NCBI_gene:94239
MGI:1888388	NCBI_gene:3015
MGI:1349392	NCBI_gene:9555
MGI:3037658	NCBI_gene:55506
MGI:102688	NCBI_gene:3014
MGI:3606192	NCBI_gene:55766
MGI:2448316	NCBI_gene:8338
MGI:3646032	NCBI_gene:723790
MGI:2448285	NCBI_gene:8334
MGI:2448458	NCBI_gene:92815
MGI:2384850	NCBI_gene:102725251
MGI:1353470	NCBI_gene:8572
MGI:1859274	NCBI_gene:27295
MGI:1860611	NCBI_gene:9124
MGI:1914649	NCBI_gene:9260
MGI:2685785	NCBI_gene:100188893
MGI:1927489	NCBI_gene:10611
MGI:1344412	NCBI_gene:11155
MGI:1926269	NCBI_gene:64978
MGI:1920773	NCBI_gene:157310
MGI:1344408	NCBI_gene:5037
MGI:98020	NCBI_gene:6143
MGI:98346	NCBI_gene:6635
MGI:2388651	NCBI_gene:27349
MGI:1922982	NCBI_gene:115811
MGI:1918961	NCBI_gene:80198
MGI:1860486	NCBI_gene:51567
MGI:2443111	NCBI_gene:10257
MGI:2441679	NCBI_gene:94160
MGI:1352630	NCBI_gene:10060
MGI:1352629	NCBI_gene:6833
MGI:1351644	NCBI_gene:10057
MGI:88388	NCBI_gene:1080
MGI:1352447	NCBI_gene:1244
MGI:102676	NCBI_gene:4363
MGI:1351634	NCBI_gene:101930322
MGI:2386976	NCBI_gene:89845
MGI:1923658	NCBI_gene:101929618
MGI:1917497	NCBI_gene:5707
MGI:1096584	NCBI_gene:5708
MGI:103577	NCBI_gene:9421
MGI:103580	NCBI_gene:9464
MGI:2444198	NCBI_gene:727857
MGI:2150010	NCBI_gene:222894
MGI:104685	NCBI_gene:117581
MGI:98872	NCBI_gene:7291
MGI:1202715	NCBI_gene:6943
MGI:1333884	NCBI_gene:9242
MGI:1328312	NCBI_gene:256297
MGI:104664	NCBI_gene:6939
MGI:1349421	NCBI_gene:344018
MGI:1934960	NCBI_gene:150921
MGI:1915365	NCBI_gene:79568
MGI:1338041	NCBI_gene:10342
MGI:1927135	NCBI_gene:9535
MGI:1927133	NCBI_gene:2764
MGI:2660854	NCBI_gene:55811
MGI:1917600	NCBI_gene:10409
MGI:1919649	NCBI_gene:8315
MGI:88586	NCBI_gene:1586
MGI:102706	NCBI_gene:2222
MGI:1918055	NCBI_gene:55683
MGI:1922873	NCBI_gene:93081
MGI:88068	NCBI_gene:374
MGI:96070	NCBI_gene:1839
MGI:99439	NCBI_gene:685
MGI:1919170	NCBI_gene:255324
MGI:107508	NCBI_gene:2069
MGI:98724	NCBI_gene:7039
MGI:96548	NCBI_gene:3558
MGI:1928375	NCBI_gene:10094
MGI:2144989	NCBI_gene:57475
MGI:2146813	NCBI_gene:130271
MGI:1919753	NCBI_gene:9703
MGI:3045274	NCBI_gene:347454
MGI:1925338	NCBI_gene:345079
MGI:2687280	NCBI_gene:134548
MGI:2178445	NCBI_gene:56342
MGI:1927868	NCBI_gene:5195
MGI:1917761	NCBI_gene:653333
MGI:1098275	NCBI_gene:23199
MGI:1917019	NCBI_gene:79626
MGI:2147191	NCBI_gene:25816
MGI:1913693	NCBI_gene:126282
MGI:2685363	NCBI_gene:388121
MGI:2444854	NCBI_gene:386724
MGI:2145995	NCBI_gene:347902
MGI:2653612	NCBI_gene:57463
MGI:2143057	NCBI_gene:80119
MGI:1914306	NCBI_gene:84273
MGI:2385207	NCBI_gene:29889
MGI:95764	NCBI_gene:2794
MGI:95764	NCBI_gene:2794
MGI:95764	NCBI_gene:2794
MGI:95764	NCBI_gene:2794
MGI:95764	NCBI_gene:2794
MGI:95764	NCBI_gene:2794
MGI:95764	NCBI_gene:2794
MGI:107236	NCBI_gene:55341
MGI:1353651	NCBI_gene:100113381
MGI:2448557	NCBI_gene:54552
MGI:2685015	NCBI_gene:92170
MGI:3648665	NCBI_gene:645079
MGI:109629	NCBI_gene:537
MGI:1918255	NCBI_gene:220047
MGI:1918029	NCBI_gene:11107
MGI:2153740	NCBI_gene:140467
MGI:1915740	NCBI_gene:163033
MGI:1917477	NCBI_gene:100287226
MGI:1921385	NCBI_gene:57147
MGI:1931787	NCBI_gene:57410
MGI:1289172	NCBI_gene:55681
MGI:1924792	NCBI_gene:54827
MGI:1925502	NCBI_gene:120406
MGI:2686598	NCBI_gene:91775
MGI:1923041	NCBI_gene:26259
MGI:1922909	NCBI_gene:84058
MGI:1354706	NCBI_gene:157574
MGI:2442569	NCBI_gene:554251
MGI:1923070	NCBI_gene:128025
MGI:3645287	NCBI_gene:151790
MGI:3505704	NCBI_gene:285231
MGI:1289192	NCBI_gene:130888
MGI:3042141	NCBI_gene:84231
MGI:1915878	NCBI_gene:84261
MGI:1354695	NCBI_gene:55294
MGI:1338871	NCBI_gene:8945
MGI:2144023	NCBI_gene:23291
MGI:1915466	NCBI_gene:349136
MGI:2445154	NCBI_gene:164312
MGI:1916102	NCBI_gene:221091
MGI:1349645	NCBI_gene:3671
MGI:2444277	NCBI_gene:57611
MGI:96573	NCBI_gene:3630
MGI:96432	NCBI_gene:3479
MGI:96434	NCBI_gene:3481
MGI:1920453	NCBI_gene:26009
MGI:1919338	NCBI_gene:10083
MGI:3608325	NCBI_gene:79955
MGI:2682003	NCBI_gene:25861
MGI:1355295	NCBI_gene:79366
MGI:1918000	NCBI_gene:2531
MGI:1917701	NCBI_gene:147015
MGI:1918732	NCBI_gene:102724045
MGI:1920402	NCBI_gene:57665
MGI:1934704	NCBI_gene:55072
MGI:1860476	NCBI_gene:10874
MGI:1920441	NCBI_gene:389549
MGI:1859823	NCBI_gene:55079
MGI:2387585	NCBI_gene:55609
MGI:2384583	NCBI_gene:145783
MGI:1919397	NCBI_gene:140685
MGI:1922541	NCBI_gene:79842
MGI:1927290	NCBI_gene:10009
MGI:1914080	NCBI_gene:112939
MGI:1915241	NCBI_gene:138151
MGI:2442998	NCBI_gene:10773
MGI:2444402	NCBI_gene:57684
MGI:88133	NCBI_gene:221527
MGI:88133	NCBI_gene:221527
MGI:88133	NCBI_gene:221527
MGI:88133	NCBI_gene:221527
MGI:88133	NCBI_gene:221527
MGI:107187	NCBI_gene:604
MGI:1278332	NCBI_gene:255877
MGI:99197	NCBI_gene:7597
MGI:1927240	NCBI_gene:49854
MGI:1195345	NCBI_gene:7541
MGI:1916242	NCBI_gene:51157
MGI:1916740	NCBI_gene:147807
MGI:102755	NCBI_gene:51043
MGI:1922329	NCBI_gene:166793
MGI:103170	NCBI_gene:2672
MGI:1276578	NCBI_gene:8328
MGI:2448528	NCBI_gene:59336
MGI:2685844	NCBI_gene:59335
MGI:2444227	NCBI_gene:171177
MGI:1916831	NCBI_gene:58480
MGI:1920546	NCBI_gene:22836
MGI:1921984	NCBI_gene:399
MGI:1931553	NCBI_gene:23433
MGI:1931551	NCBI_gene:57381
MGI:106211	NCBI_gene:998
MGI:2444878	NCBI_gene:102723646
MGI:1338755	NCBI_gene:8153
MGI:1921444	NCBI_gene:390
MGI:1916538	NCBI_gene:9886
MGI:2180557	NCBI_gene:23221
MGI:1096342	NCBI_gene:387
MGI:107949	NCBI_gene:388
MGI:108446	NCBI_gene:29984
MGI:1345629	NCBI_gene:54509
MGI:106028	NCBI_gene:389
MGI:97846	NCBI_gene:5880
MGI:2180784	NCBI_gene:5881
MGI:1928370	NCBI_gene:391
MGI:97845	NCBI_gene:5879
MGI:2384892	NCBI_gene:89941
MGI:1926078	NCBI_gene:55288
MGI:1923714	NCBI_gene:57082
MGI:3033145	NCBI_gene:386746
MGI:3033119	NCBI_gene:117195
MGI:2441884	NCBI_gene:116534
MGI:2384823	NCBI_gene:116535
MGI:2685519	NCBI_gene:390212
MGI:3033142	NCBI_gene:116512
MGI:96918	NCBI_gene:4142
MGI:1915053	NCBI_gene:80774
MGI:1353635	NCBI_gene:29995
MGI:1916034	NCBI_gene:144165
MGI:105081	NCBI_gene:26136
MGI:106403	NCBI_gene:51324
MGI:1914855	NCBI_gene:84335
MGI:1889342	NCBI_gene:27240
MGI:2384936	NCBI_gene:124976
MGI:1924827	NCBI_gene:201305
MGI:1920908	NCBI_gene:83985
MGI:1333112	NCBI_gene:5901
MGI:1923173	NCBI_gene:30836
MGI:1914318	NCBI_gene:83658
MGI:1922715	NCBI_gene:83657
MGI:2142593	NCBI_gene:84080
MGI:1918483	NCBI_gene:219670
MGI:106642	NCBI_gene:570
MGI:1921287	NCBI_gene:641372
MGI:2159621	NCBI_gene:122970
MGI:2159619	NCBI_gene:641371
MGI:1915339	NCBI_gene:10093
MGI:1915339	NCBI_gene:100526693
MGI:1919935	NCBI_gene:9829
MGI:2442153	NCBI_gene:2580
MGI:2685104	NCBI_gene:9495
MGI:1924415	NCBI_gene:245972
MGI:1201778	NCBI_gene:9114
MGI:2136343	NCBI_gene:23418
MGI:2670904	NCBI_gene:92359
MGI:1858430	NCBI_gene:91179
MGI:2449455	NCBI_gene:8578
MGI:2679260	NCBI_gene:286204
MGI:1203484	NCBI_gene:100507113
MGI:1298379	NCBI_gene:724102
MGI:1925808	NCBI_gene:94031
MGI:1929076	NCBI_gene:5654
MGI:3036260	NCBI_gene:203100
MGI:1928676	NCBI_gene:27429
MGI:1914811	NCBI_gene:57599
MGI:2135954	NCBI_gene:85407
MGI:1919543	NCBI_gene:85409
MGI:2179717	NCBI_gene:113263
MGI:2144564	NCBI_gene:81558
MGI:1920000	NCBI_gene:150864
MGI:1922538	NCBI_gene:341880
MGI:2444426	NCBI_gene:148641
MGI:1914679	NCBI_gene:84955
MGI:1919449	NCBI_gene:64210
MGI:95412	NCBI_gene:2067
MGI:894659	NCBI_gene:26959
MGI:1919525	NCBI_gene:64073
MGI:1925616	NCBI_gene:51764
MGI:1859310	NCBI_gene:56624
MGI:97836	NCBI_gene:5860
MGI:1924705	NCBI_gene:6018
MGI:1919270	NCBI_gene:55279
MGI:1353423	NCBI_gene:23036
MGI:1350927	NCBI_gene:6132
MGI:1351622	NCBI_gene:51069
MGI:1918227	NCBI_gene:85438
MGI:2444310	NCBI_gene:123722
MGI:2442443	NCBI_gene:83856
MGI:1923719	NCBI_gene:202333
MGI:1934858	NCBI_gene:102723386
MGI:1351320	NCBI_gene:7158
MGI:1328360	NCBI_gene:1820
MGI:3650624	NCBI_gene:138715
MGI:1930768	NCBI_gene:10620
MGI:1929713	NCBI_gene:100653515
MGI:2442521	NCBI_gene:85459
MGI:1196431	NCBI_gene:118611
MGI:1934606	NCBI_gene:7840
MGI:2137630	NCBI_gene:9088
MGI:3027899	NCBI_gene:494551
MGI:103075	NCBI_gene:7465
MGI:1341830	NCBI_gene:9451
MGI:1353427	NCBI_gene:440275
MGI:2385213	NCBI_gene:149420
MGI:1914583	NCBI_gene:140901
MGI:1353449	NCBI_gene:5610
MGI:1353448	NCBI_gene:27102
MGI:1923968	NCBI_gene:57828
MGI:1914672	NCBI_gene:79947
MGI:94900	NCBI_gene:8788
MGI:1920432	NCBI_gene:375033
MGI:1923310	NCBI_gene:57461
MGI:1914103	NCBI_gene:57104
MGI:3617850	NCBI_gene:285848
MGI:1923022	NCBI_gene:150379
MGI:2151796	NCBI_gene:80339
MGI:1930948	NCBI_gene:54433
MGI:2446159	NCBI_gene:3705
MGI:1917722	NCBI_gene:29028
MGI:2444798	NCBI_gene:102725056
MGI:1913746	NCBI_gene:79144
MGI:1314891	NCBI_gene:8792
MGI:104512	NCBI_gene:7293
MGI:88336	NCBI_gene:958
MGI:88326	NCBI_gene:939
MGI:1101059	NCBI_gene:3604
MGI:1934667	NCBI_gene:8718
MGI:99908	NCBI_gene:943
MGI:2151075	NCBI_gene:27242
MGI:894675	NCBI_gene:8784
MGI:95484	NCBI_gene:355
MGI:2675303	NCBI_gene:8764
MGI:1314884	NCBI_gene:7132
MGI:97323	NCBI_gene:4804
MGI:2443373	NCBI_gene:84957
MGI:1314883	NCBI_gene:7133
MGI:104875	NCBI_gene:102724071
MGI:109587	NCBI_gene:4982
MGI:2664111	NCBI_gene:401024
MGI:95842	NCBI_gene:219409
MGI:3053002	NCBI_gene:344022
MGI:1919174	NCBI_gene:51175
MGI:1891826	NCBI_gene:51174
MGI:1095408	NCBI_gene:113457
MGI:1095406	NCBI_gene:113457
MGI:1920960	NCBI_gene:347733
MGI:107861	NCBI_gene:7280
MGI:107812	NCBI_gene:203068
MGI:107812	NCBI_gene:203068
MGI:107812	NCBI_gene:203068
MGI:107812	NCBI_gene:203068
MGI:107812	NCBI_gene:203068
MGI:107812	NCBI_gene:203068
MGI:107812	NCBI_gene:203068
MGI:107812	NCBI_gene:203068
MGI:107813	NCBI_gene:10381
MGI:107813	NCBI_gene:10381
MGI:1915201	NCBI_gene:84617
MGI:107814	NCBI_gene:81027
MGI:107848	NCBI_gene:10382
MGI:1915472	NCBI_gene:10383
MGI:107804	NCBI_gene:10376
MGI:1095410	NCBI_gene:7277
MGI:1095409	NCBI_gene:84790
MGI:98869	NCBI_gene:7846
MGI:3588215	NCBI_gene:79861
MGI:1858225	NCBI_gene:51807
MGI:2144208	NCBI_gene:27175
MGI:101834	NCBI_gene:7283
MGI:1917060	NCBI_gene:170482
MGI:1861231	NCBI_gene:93978
MGI:1298389	NCBI_gene:338339
MGI:3036291	NCBI_gene:50856
MGI:1861232	NCBI_gene:26253
MGI:2180021	NCBI_gene:50489
MGI:88081	NCBI_gene:432
MGI:88082	NCBI_gene:433
MGI:1859834	NCBI_gene:165530
MGI:1923113	NCBI_gene:339390
MGI:95497	NCBI_gene:2208
MGI:2157942	NCBI_gene:30835
MGI:1096368	NCBI_gene:162
MGI:1919020	NCBI_gene:163
MGI:1337130	NCBI_gene:10717
MGI:1333879	NCBI_gene:8546
MGI:1100869	NCBI_gene:8120
MGI:1923512	NCBI_gene:5203
MGI:107733	NCBI_gene:10540
MGI:1928142	NCBI_gene:64951
MGI:1924833	NCBI_gene:147111
MGI:1930008	NCBI_gene:51738
MGI:96009	NCBI_gene:3033
MGI:2135593	NCBI_gene:3030
MGI:1277964	NCBI_gene:1962
MGI:1915881	NCBI_gene:51084
MGI:107486	NCBI_gene:5828
MGI:2441769	NCBI_gene:64421
MGI:2156057	NCBI_gene:64858
MGI:1930042	NCBI_gene:9937
MGI:97766	NCBI_gene:5620
MGI:1343877	NCBI_gene:4736
MGI:1913659	NCBI_gene:26156
MGI:1098547	NCBI_gene:55651
MGI:3643553	NCBI_gene:26820
MGI:3643807	NCBI_gene:26820
MGI:3643518	NCBI_gene:26820
MGI:1353472	NCBI_gene:26820
MGI:893586	NCBI_gene:4809
MGI:2137202	NCBI_gene:65008
MGI:1925254	NCBI_gene:222171
MGI:2387599	NCBI_gene:79170
MGI:2684868	NCBI_gene:84627
MGI:1916686	NCBI_gene:51537
MGI:2139469	NCBI_gene:60493
MGI:1913837	NCBI_gene:10922
MGI:1916827	NCBI_gene:79072
MGI:2444596	NCBI_gene:79675
MGI:1922869	NCBI_gene:22868
MGI:1100868	NCBI_gene:677795
MGI:1924031	NCBI_gene:64863
MGI:1917566	NCBI_gene:4706
MGI:1915290	NCBI_gene:51042
MGI:1924140	NCBI_gene:51072
MGI:2684983	NCBI_gene:4712
MGI:1924261	NCBI_gene:90381
MGI:1890446	NCBI_gene:117154
MGI:1335082	NCBI_gene:27130
MGI:1920566	NCBI_gene:
MGI:88252	NCBI_gene:811
MGI:107472	NCBI_gene:1047
MGI:88261	NCBI_gene:821
MGI:1349162	NCBI_gene:6382
MGI:1349163	NCBI_gene:9672
MGI:1349164	NCBI_gene:6385
MGI:1349165	NCBI_gene:6383
MGI:2140651	NCBI_gene:57648
MGI:106390	NCBI_gene:57224
MGI:2684894	NCBI_gene:4810
MGI:3645090	NCBI_gene:340527
MGI:96738	NCBI_gene:51501
MGI:109603	NCBI_gene:1240
MGI:109563	NCBI_gene:7852
MGI:1934582	NCBI_gene:10663
MGI:1341902	NCBI_gene:10803
MGI:1333815	NCBI_gene:1524
MGI:1891697	NCBI_gene:1238
MGI:1201402	NCBI_gene:1237
MGI:104618	NCBI_gene:1230
MGI:1920904	NCBI_gene:9034
MGI:104616	NCBI_gene:1232
MGI:107182	NCBI_gene:1234
